date,tic,adjcp,datadate
2010-01-12,TRV,33.52024459838867,20100112
2010-01-12,UNH,24.81022834777832,20100112
2010-01-12,V,19.20485496520996,20100112
2010-01-12,VZ,12.952736854553223,20100112
2010-01-12,WMT,13.05307388305664,20100112
2010-01-12,XOM,38.066322326660156,20100112
2010-01-13,AAPL,6.311707973480225,20100113
2010-01-13,AXP,33.499610900878906,20100113
2010-01-13,BA,47.658145904541016,20100113
2010-01-13,CAT,41.65026092529297,20100113
2010-01-13,CSCO,15.85741901397705,20100113
2010-01-13,CVX,41.65169906616211,20100113
2010-01-13,DIS,26.627460479736328,20100113
2010-01-13,GS,126.94669342041016,20100113
2010-01-13,HD,19.07563018798828,20100113
2010-01-13,IBM,71.25367736816406,20100113
2010-01-13,INTC,13.571219444274902,20100113
2010-01-13,JNJ,40.384986877441406,20100113
2010-01-13,JPM,29.203136444091797,20100113
2010-01-13,KO,17.313297271728516,20100113
2010-01-13,MCD,40.2103271484375,20100113
2010-01-13,MMM,43.172218322753906,20100113
2010-01-13,MRK,21.52223014831543,20100113
2010-01-13,MSFT,22.6300048828125,20100113
2010-01-13,NKE,13.188974380493164,20100113
2010-01-13,PFE,9.336922645568848,20100113
2010-01-13,PG,38.1088752746582,20100113
2010-01-13,TRV,33.63689422607422,20100113
2010-01-13,UNH,25.189542770385742,20100113
2010-01-13,V,19.38279914855957,20100113
2010-01-13,VZ,12.936502456665039,20100113
2010-01-13,WMT,13.119856834411621,20100113
2010-01-13,XOM,37.913944244384766,20100113
2010-01-14,AAPL,6.275152206420898,20100114
2010-01-14,AXP,33.92083740234375,20100114
2010-01-14,BA,47.969844818115234,20100114
2010-01-14,CAT,41.416385650634766,20100114
2010-01-14,CSCO,16.05693244934082,20100114
2010-01-14,CVX,41.521202087402344,20100114
2010-01-14,DIS,26.397686004638672,20100114
2010-01-14,GS,126.54121398925781,20100114
2010-01-14,HD,19.19091033935547,20100114
2010-01-14,IBM,72.39166259765625,20100114
2010-01-14,INTC,13.907920837402344,20100114
2010-01-14,JNJ,40.46577835083008,20100114
2010-01-14,JPM,29.493526458740234,20100114
2010-01-14,KO,17.343656539916992,20100114
2010-01-14,MCD,40.24888610839844,20100114
2010-01-14,MMM,43.027931213378906,20100114
2010-01-14,MRK,22.10824203491211,20100114
2010-01-14,MSFT,23.0848388671875,20100114
2010-01-14,NKE,13.106289863586426,20100114
2010-01-14,PFE,9.419547080993652,20100114
2010-01-14,PG,38.14603805541992,20100114
2010-01-14,TRV,33.815303802490234,20100114
2010-01-14,UNH,25.793346405029297,20100114
2010-01-14,V,19.44952964782715,20100114
2010-01-14,VZ,12.672653198242188,20100114
2010-01-14,WMT,12.929052352905273,20100114
2010-01-14,XOM,37.919395446777344,20100114
2010-01-15,AAPL,6.17028284072876,20100115
2010-01-15,AXP,33.69035720825195,20100115
2010-01-15,BA,47.39320755004883,20100115
2010-01-15,CAT,40.44757080078125,20100115
2010-01-15,CSCO,15.702961921691895,20100115
2010-01-15,CVX,41.354183197021484,20100115
2010-01-15,DIS,26.04027557373047,20100115
2010-01-15,GS,124.04840850830078,20100115
2010-01-15,HD,19.374000549316406,20100115
2010-01-15,IBM,72.10173797607422,20100115
2010-01-15,INTC,13.467630386352539,20100115
2010-01-15,JNJ,40.13011932373047,20100115
2010-01-15,JPM,28.82697296142578,20100115
2010-01-15,KO,17.088647842407227,20100115
2010-01-15,MCD,40.01118469238281,20100115
2010-01-15,MMM,42.960960388183594,20100115
2010-01-15,MRK,21.820758819580078,20100115
2010-01-15,MSFT,23.010276794433594,20100115
2010-01-15,NKE,12.985288619995117,20100115
2010-01-15,PFE,9.473015785217285,20100115
2010-01-15,PG,37.67525863647461,20100115
2010-01-15,TRV,33.479061126708984,20100115
2010-01-15,UNH,26.126216888427734,20100115
2010-01-15,V,19.160354614257812,20100115
2010-01-15,VZ,12.41286849975586,20100115
2010-01-15,WMT,12.802654266357422,20100115
2010-01-15,XOM,37.60919952392578,20100115
2010-01-19,AAPL,6.443246364593506,20100119
2010-01-19,AXP,34.14337158203125,20100119
2010-01-19,BA,47.2607421875,20100119
2010-01-19,CAT,40.99253845214844,20100119
2010-01-19,CSCO,15.992570877075195,20100119
2010-01-19,CVX,41.58906173706055,20100119
2010-01-19,DIS,26.389179229736328,20100119
2010-01-19,GS,125.28732299804688,20100119
2010-01-19,HD,19.584226608276367,20100119
2010-01-19,IBM,73.39295959472656,20100119
2010-01-19,INTC,13.629495620727539,20100119
2010-01-19,JNJ,40.62117385864258,20100119
2010-01-19,JPM,28.562984466552734,20100119
2010-01-19,KO,17.12811279296875,20100119
2010-01-19,MCD,40.78209686279297,20100119
2010-01-19,MMM,43.862728118896484,20100119
2010-01-19,MRK,22.456533432006836,20100119
2010-01-19,MSFT,23.18922996520996,20100119
2010-01-19,NKE,13.049825668334961,20100119
2010-01-19,PFE,9.720900535583496,20100119
2010-01-19,PG,38.23278045654297,20100119
2010-01-19,TRV,33.91823196411133,20100119
2010-01-19,UNH,27.194486618041992,20100119
2010-01-19,V,19.540725708007812,20100119
2010-01-19,VZ,12.676715850830078,20100119
2010-01-19,WMT,12.88612174987793,20100119
2010-01-19,XOM,37.69628143310547,20100119
2010-01-20,AAPL,6.3440680503845215,20100120
2010-01-20,AXP,34.15925979614258,20100120
2010-01-20,BA,46.91007614135742,20100120
2010-01-20,CAT,40.20537185668945,20100120
2010-01-20,CSCO,15.70939826965332,20100120
